Date,Username,Stage,Content,Link,isHero
"2022-01-25,03:50:33",Fluffel,1,,https://cdn.discordapp.com/attachments/746160858555613356/935456600943104020/PXL_20220125_0848441802.jpg,TRUE
"2022-01-25,03:50:33",Fluffel,1,"Super rough sketch of assignment A, my topic was social anxiety",,
"2022-01-25,03:50:36",Fluffel,1,Lmk anything I should change or add lol,,
"2022-01-25,03:55:12",Fluffel,1,It's still in the early stages and tbh I had another idea with a man in a mesh mask dancing with a skeleton lol,,
"2022-01-25,09:05:41",FryingHamster,1,so you’re portraying social anxiety as walking a tightrope?,,
"2022-01-25,09:05:53",FryingHamster,1,also what us going on below the tightrope?,,
"2022-01-25,09:58:32",Fluffel,1,Yeah,,
"2022-01-25,10:04:04",Fluffel,1,Below I was going to draw some pedestrians,,
"2022-01-25,10:04:33",Fluffel,1,There was something I was going to do but the sketch doesn't show it lol,,
"2022-01-25,10:27:50",FryingHamster,1,i think you can push the metaphor a bit further than pedestrians,,
"2022-01-25,10:27:52",FryingHamster,1,,https://www.youtube.com/watch?v=T3hTwgDy_Ww,FALSE
"2022-01-25,10:35:27",Fluffel,1,I was planning on doing that,,
"2022-01-25,10:36:07",Fluffel,1,"Like I wanted to either make a shadow, make the tightrope, and make the hands kind of like a window into everyone mocking you or something",,
"2022-01-25,10:39:57",FryingHamster,1,for sure,,
"2022-01-25,10:40:17",FryingHamster,1,i would be a few thumbnails of your ideas because i think the background will sell this piece or not,,
"2022-01-25,10:40:23",FryingHamster,1,would make*,,
"2022-01-25,10:40:58",Fluffel,1,"honestly yeah, I'm probably going to thumbnail after class or something",,
"2022-01-25,14:37:25",Fluffel,2,,https://cdn.discordapp.com/attachments/746160858555613356/935619390198661190/PXL_20220125_193547680.jpg,TRUE
"2022-01-25,14:37:25",Fluffel,2,"Also here are 3 super quick thumbnails, the shaded parts basically mean that it's the perception thing",,
"2022-01-25,14:38:15",FryingHamster,2,excellent execution,,
"2022-01-25,14:38:28",FryingHamster,2,i'll look at the thumbnails later,,
"2022-01-25,14:39:56",Fluffel,2,oki,,
"2022-01-25,16:54:16",FryingHamster,2,i can’t tell the difference,,
"2022-01-25,16:54:28",FryingHamster,2,is it just lighting of the main figure?,,
"2022-01-25,17:44:23",Fluffel,2,No not lighting,,
"2022-01-25,18:28:15",Fluffel,3,,https://cdn.discordapp.com/attachments/746160858555613356/935677480356941874/PXL_20220125_2322264802.jpg,TRUE
"2022-01-25,18:28:15",Fluffel,3,"This is half the sketch so far, lmk what to change lol",,
"2022-01-25,19:43:56",FryingHamster,3,interesting but how about,,
"2022-01-25,19:44:03",FryingHamster,3,make those faces BIG,,
"2022-01-25,19:44:08",FryingHamster,3,I don’t just want a crowd,,
"2022-01-25,19:44:14",FryingHamster,3,i’m scared on that tightrope,,
"2022-01-25,19:44:30",Fluffel,3,Like the faces in the rope itself?,,
"2022-01-25,19:44:43",FryingHamster,3,i meant bigger faces in general,,
"2022-01-25,19:44:44",Fluffel,3,Tho I do want to convey it's more of a mental than real life thing,,
